Grid Size,100
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,19,1,1,0,-49.0,-31.0,3.0
0,1,2,19,1,1,0,-48.0,-31.0,3.0
0,1,2,20,1,1,0,-48.0,-30.0,3.0
0,1,2,21,1,1,0,-48.0,-29.0,3.0
0,1,1,21,1,1,0,-49.0,-29.0,3.0
0,0,1,21,1,1,0,-49.0,-29.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,20,1,1,0,-49.0,-30.0,3.0
0,1,2,20,1,1,0,-48.0,-30.0,3.0
0,1,2,21,1,1,0,-48.0,-29.0,3.0
0,1,2,22,1,1,0,-48.0,-28.0,3.0
0,1,1,22,1,1,0,-49.0,-28.0,3.0
0,0,1,22,1,1,0,-49.0,-28.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,21,1,1,0,-49.0,-29.0,3.0
0,1,2,21,1,1,0,-48.0,-29.0,3.0
0,1,2,22,1,1,0,-48.0,-28.0,3.0
0,1,2,23,1,1,0,-48.0,-27.0,3.0
0,1,1,23,1,1,0,-49.0,-27.0,3.0
0,0,1,23,1,1,0,-49.0,-27.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,22,1,1,0,-49.0,-28.0,3.0
0,1,2,22,1,1,0,-48.0,-28.0,3.0
0,1,2,23,1,1,0,-48.0,-27.0,3.0
0,1,2,24,1,1,0,-48.0,-26.0,3.0
0,1,1,24,1,1,0,-49.0,-26.0,3.0
0,0,1,24,1,1,0,-49.0,-26.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,23,1,1,0,-49.0,-27.0,3.0
0,1,2,23,1,1,0,-48.0,-27.0,3.0
0,1,2,24,1,1,0,-48.0,-26.0,3.0
0,1,2,25,1,1,0,-48.0,-25.0,3.0
0,1,1,25,1,1,0,-49.0,-25.0,3.0
0,0,1,25,1,1,0,-49.0,-25.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,24,1,1,0,-49.0,-26.0,3.0
0,1,2,24,1,1,0,-48.0,-26.0,3.0
0,1,2,25,1,1,0,-48.0,-25.0,3.0
0,1,2,26,1,1,0,-48.0,-24.0,3.0
0,1,1,26,1,1,0,-49.0,-24.0,3.0
0,0,1,26,1,1,0,-49.0,-24.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,25,1,1,0,-49.0,-25.0,3.0
0,1,2,25,1,1,0,-48.0,-25.0,3.0
0,1,2,26,1,1,0,-48.0,-24.0,3.0
0,1,2,27,1,1,0,-48.0,-23.0,3.0
0,1,1,27,1,1,0,-49.0,-23.0,3.0
0,0,1,27,1,1,0,-49.0,-23.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,26,1,1,0,-49.0,-24.0,3.0
0,1,2,26,1,1,0,-48.0,-24.0,3.0
0,1,2,27,1,1,0,-48.0,-23.0,3.0
0,1,2,28,1,1,0,-48.0,-22.0,3.0
0,1,1,28,1,1,0,-49.0,-22.0,3.0
0,0,1,28,1,1,0,-49.0,-22.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,27,1,1,0,-49.0,-23.0,3.0
0,1,2,27,1,1,0,-48.0,-23.0,3.0
0,1,2,28,1,1,0,-48.0,-22.0,3.0
0,1,2,29,1,1,0,-48.0,-21.0,3.0
0,1,1,29,1,1,0,-49.0,-21.0,3.0
0,0,1,29,1,1,0,-49.0,-21.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,28,1,1,0,-49.0,-22.0,3.0
0,1,2,28,1,1,0,-48.0,-22.0,3.0
0,1,2,29,1,1,0,-48.0,-21.0,3.0
0,1,2,30,1,1,0,-48.0,-20.0,3.0
0,1,1,30,1,1,0,-49.0,-20.0,3.0
0,0,1,30,1,1,0,-49.0,-20.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,29,1,1,0,-49.0,-21.0,3.0
0,1,2,29,1,1,0,-48.0,-21.0,3.0
0,1,2,30,1,1,0,-48.0,-20.0,3.0
0,1,2,31,1,1,0,-48.0,-19.0,3.0
0,1,1,31,1,1,0,-49.0,-19.0,3.0
0,0,1,31,1,1,0,-49.0,-19.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,30,1,1,0,-49.0,-20.0,3.0
0,1,2,30,1,1,0,-48.0,-20.0,3.0
0,1,2,31,1,1,0,-48.0,-19.0,3.0
0,1,2,32,1,1,0,-48.0,-18.0,3.0
0,1,1,32,1,1,0,-49.0,-18.0,3.0
0,0,1,32,1,1,0,-49.0,-18.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,31,1,1,0,-49.0,-19.0,3.0
0,1,2,31,1,1,0,-48.0,-19.0,3.0
0,1,2,32,1,1,0,-48.0,-18.0,3.0
0,1,2,33,1,1,0,-48.0,-17.0,3.0
0,1,1,33,1,1,0,-49.0,-17.0,3.0
0,0,1,33,1,1,0,-49.0,-17.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,32,1,1,0,-49.0,-18.0,3.0
0,1,2,32,1,1,0,-48.0,-18.0,3.0
0,1,2,33,1,1,0,-48.0,-17.0,3.0
0,1,2,34,1,1,0,-48.0,-16.0,3.0
0,1,1,34,1,1,0,-49.0,-16.0,3.0
0,0,1,34,1,1,0,-49.0,-16.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,33,1,1,0,-49.0,-17.0,3.0
0,1,2,33,1,1,0,-48.0,-17.0,3.0
0,1,2,34,1,1,0,-48.0,-16.0,3.0
0,1,2,35,1,1,0,-48.0,-15.0,3.0
0,1,1,35,1,1,0,-49.0,-15.0,3.0
0,0,1,35,1,1,0,-49.0,-15.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,34,1,1,0,-49.0,-16.0,3.0
0,1,2,34,1,1,0,-48.0,-16.0,3.0
0,1,2,35,1,1,0,-48.0,-15.0,3.0
0,1,2,36,1,1,0,-48.0,-14.0,3.0
0,1,1,36,1,1,0,-49.0,-14.0,3.0
0,0,1,36,1,1,0,-49.0,-14.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,35,1,1,0,-49.0,-15.0,3.0
0,1,2,35,1,1,0,-48.0,-15.0,3.0
0,1,2,36,1,1,0,-48.0,-14.0,3.0
0,1,2,37,1,1,0,-48.0,-13.0,3.0
0,1,1,37,1,1,0,-49.0,-13.0,3.0
0,0,1,37,1,1,0,-49.0,-13.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,36,1,1,0,-49.0,-14.0,3.0
0,1,2,36,1,1,0,-48.0,-14.0,3.0
0,1,2,37,1,1,0,-48.0,-13.0,3.0
0,1,2,38,1,1,0,-48.0,-12.0,3.0
0,1,1,38,1,1,0,-49.0,-12.0,3.0
0,0,1,38,1,1,0,-49.0,-12.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,37,1,1,0,-49.0,-13.0,3.0
0,1,2,37,1,1,0,-48.0,-13.0,3.0
0,1,2,38,1,1,0,-48.0,-12.0,3.0
0,1,2,39,1,1,0,-48.0,-11.0,3.0
0,1,1,39,1,1,0,-49.0,-11.0,3.0
0,0,1,39,1,1,0,-49.0,-11.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,38,1,1,0,-49.0,-12.0,3.0
0,1,2,38,1,1,0,-48.0,-12.0,3.0
0,1,2,39,1,1,0,-48.0,-11.0,3.0
0,1,2,40,1,1,0,-48.0,-10.0,3.0
0,1,1,40,1,1,0,-49.0,-10.0,3.0
0,0,1,40,1,1,0,-49.0,-10.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,39,1,1,0,-49.0,-11.0,3.0
0,1,2,39,1,1,0,-48.0,-11.0,3.0
0,1,2,40,1,1,0,-48.0,-10.0,3.0
0,1,2,41,1,1,0,-48.0,-9.0,3.0
0,1,1,41,1,1,0,-49.0,-9.0,3.0
0,0,1,41,1,1,0,-49.0,-9.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,40,1,1,0,-49.0,-10.0,3.0
0,1,2,40,1,1,0,-48.0,-10.0,3.0
0,1,2,41,1,1,0,-48.0,-9.0,3.0
0,1,2,42,1,1,0,-48.0,-8.0,3.0
0,1,1,42,1,1,0,-49.0,-8.0,3.0
0,0,1,42,1,1,0,-49.0,-8.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,41,1,1,0,-49.0,-9.0,3.0
0,1,2,41,1,1,0,-48.0,-9.0,3.0
0,1,2,42,1,1,0,-48.0,-8.0,3.0
0,1,2,43,1,1,0,-48.0,-7.0,3.0
0,1,1,43,1,1,0,-49.0,-7.0,3.0
0,0,1,43,1,1,0,-49.0,-7.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,42,1,1,0,-49.0,-8.0,3.0
0,1,2,42,1,1,0,-48.0,-8.0,3.0
0,1,2,43,1,1,0,-48.0,-7.0,3.0
0,1,2,44,1,1,0,-48.0,-6.0,3.0
0,1,1,44,1,1,0,-49.0,-6.0,3.0
0,0,1,44,1,1,0,-49.0,-6.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,43,1,1,0,-49.0,-7.0,3.0
0,1,2,43,1,1,0,-48.0,-7.0,3.0
0,1,2,44,1,1,0,-48.0,-6.0,3.0
0,1,2,45,1,1,0,-48.0,-5.0,3.0
0,1,1,45,1,1,0,-49.0,-5.0,3.0
0,0,1,45,1,1,0,-49.0,-5.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,44,1,1,0,-49.0,-6.0,3.0
0,1,2,44,1,1,0,-48.0,-6.0,3.0
0,1,2,45,1,1,0,-48.0,-5.0,3.0
0,1,2,46,1,1,0,-48.0,-4.0,3.0
0,1,1,46,1,1,0,-49.0,-4.0,3.0
0,0,1,46,1,1,0,-49.0,-4.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,45,1,1,0,-49.0,-5.0,3.0
0,1,2,45,1,1,0,-48.0,-5.0,3.0
0,1,2,46,1,1,0,-48.0,-4.0,3.0
0,1,2,47,1,1,0,-48.0,-3.0,3.0
0,1,1,47,1,1,0,-49.0,-3.0,3.0
0,0,1,47,1,1,0,-49.0,-3.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,46,1,1,0,-49.0,-4.0,3.0
0,1,2,46,1,1,0,-48.0,-4.0,3.0
0,1,2,47,1,1,0,-48.0,-3.0,3.0
0,1,2,48,1,1,0,-48.0,-2.0,3.0
0,1,1,48,1,1,0,-49.0,-2.0,3.0
0,0,1,48,1,1,0,-49.0,-2.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,47,1,1,0,-49.0,-3.0,3.0
0,1,2,47,1,1,0,-48.0,-3.0,3.0
0,1,2,48,1,1,0,-48.0,-2.0,3.0
0,1,2,49,1,1,0,-48.0,-1.0,3.0
0,1,1,49,1,1,0,-49.0,-1.0,3.0
0,0,1,49,1,1,0,-49.0,-1.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,48,1,1,0,-49.0,-2.0,3.0
0,1,2,48,1,1,0,-48.0,-2.0,3.0
0,1,2,49,1,1,0,-48.0,-1.0,3.0
0,1,2,50,1,1,0,-48.0,0.0,3.0
0,1,1,50,1,1,0,-49.0,0.0,3.0
0,0,1,50,1,1,0,-49.0,0.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,49,1,1,0,-49.0,-1.0,3.0
0,1,2,49,1,1,0,-48.0,-1.0,3.0
0,1,2,50,1,1,0,-48.0,0.0,3.0
0,1,2,51,1,1,0,-48.0,1.0,3.0
0,1,1,51,1,1,0,-49.0,1.0,3.0
0,0,1,51,1,1,0,-49.0,1.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,50,1,1,0,-49.0,0.0,3.0
0,1,2,50,1,1,0,-48.0,0.0,3.0
0,1,2,51,1,1,0,-48.0,1.0,3.0
0,1,2,52,1,1,0,-48.0,2.0,3.0
0,1,1,52,1,1,0,-49.0,2.0,3.0
0,0,1,52,1,1,0,-49.0,2.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,51,1,1,0,-49.0,1.0,3.0
0,1,2,51,1,1,0,-48.0,1.0,3.0
0,1,2,52,1,1,0,-48.0,2.0,3.0
0,1,2,53,1,1,0,-48.0,3.0,3.0
0,1,1,53,1,1,0,-49.0,3.0,3.0
0,0,1,53,1,1,0,-49.0,3.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,52,1,1,0,-49.0,2.0,3.0
0,1,2,52,1,1,0,-48.0,2.0,3.0
0,1,2,53,1,1,0,-48.0,3.0,3.0
0,1,2,54,1,1,0,-48.0,4.0,3.0
0,1,1,54,1,1,0,-49.0,4.0,3.0
0,0,1,54,1,1,0,-49.0,4.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,53,1,1,0,-49.0,3.0,3.0
0,1,2,53,1,1,0,-48.0,3.0,3.0
0,1,2,54,1,1,0,-48.0,4.0,3.0
0,1,2,55,1,1,0,-48.0,5.0,3.0
0,1,1,55,1,1,0,-49.0,5.0,3.0
0,0,1,55,1,1,0,-49.0,5.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,54,1,1,0,-49.0,4.0,3.0
0,1,2,54,1,1,0,-48.0,4.0,3.0
0,1,2,55,1,1,0,-48.0,5.0,3.0
0,1,2,56,1,1,0,-48.0,6.0,3.0
0,1,1,56,1,1,0,-49.0,6.0,3.0
0,0,1,56,1,1,0,-49.0,6.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,55,1,1,0,-49.0,5.0,3.0
0,1,2,55,1,1,0,-48.0,5.0,3.0
0,1,2,56,1,1,0,-48.0,6.0,3.0
0,1,2,57,1,1,0,-48.0,7.0,3.0
0,1,1,57,1,1,0,-49.0,7.0,3.0
0,0,1,57,1,1,0,-49.0,7.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,56,1,1,0,-49.0,6.0,3.0
0,1,2,56,1,1,0,-48.0,6.0,3.0
0,1,2,57,1,1,0,-48.0,7.0,3.0
0,1,2,58,1,1,0,-48.0,8.0,3.0
0,1,1,58,1,1,0,-49.0,8.0,3.0
0,0,1,58,1,1,0,-49.0,8.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,57,1,1,0,-49.0,7.0,3.0
0,1,2,57,1,1,0,-48.0,7.0,3.0
0,1,2,58,1,1,0,-48.0,8.0,3.0
0,1,2,59,1,1,0,-48.0,9.0,3.0
0,1,1,59,1,1,0,-49.0,9.0,3.0
0,0,1,59,1,1,0,-49.0,9.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,58,1,1,0,-49.0,8.0,3.0
0,1,2,58,1,1,0,-48.0,8.0,3.0
0,1,2,59,1,1,0,-48.0,9.0,3.0
0,1,2,60,1,1,0,-48.0,10.0,3.0
0,1,1,60,1,1,0,-49.0,10.0,3.0
0,0,1,60,1,1,0,-49.0,10.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,59,1,1,0,-49.0,9.0,3.0
0,1,2,59,1,1,0,-48.0,9.0,3.0
0,1,2,60,1,1,0,-48.0,10.0,3.0
0,1,2,61,1,1,0,-48.0,11.0,3.0
0,1,1,61,1,1,0,-49.0,11.0,3.0
0,0,1,61,1,1,0,-49.0,11.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,60,1,1,0,-49.0,10.0,3.0
0,1,2,60,1,1,0,-48.0,10.0,3.0
0,1,2,61,1,1,0,-48.0,11.0,3.0
0,1,2,62,1,1,0,-48.0,12.0,3.0
0,1,1,62,1,1,0,-49.0,12.0,3.0
0,0,1,62,1,1,0,-49.0,12.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
